cell id,cell type,column id
720575940608650507,T4b,603
720575940608661187,T5c,112
720575940608667605,T5a,246
720575940608668867,T5a,628
720575940608669379,T5b,479
720575940608674825,Tm4,439
720575940608674908,T3,180
720575940608675797,T2,591
720575940608677641,Tm9,603
720575940608677724,L4,484
720575940608683017,Tm9,600
720575940608683100,Tm20,171
720575940608684811,L3,619
720575940608686684,Tm20,224
720575940608687964,T3,630
720575940608690443,Tm9,219
720575940608694025,T2a,not assigned
720575940608694795,T4b,709
720575940608697412,T4c,636
720575940608708309,T4d,216
720575940608720137,T4a,754
720575940608724163,T5a,328
720575940608725259,Tm3,796
720575940608729097,T5a,296
720575940608730379,T2a,636
720575940608731403,Mi9,98
720575940608731972,Tm21,531
720575940608739523,C3,783
720575940608742923,T2a,109
720575940608745685,Tm2,676
720575940608745923,T1,250
720575940608752651,C3,363
720575940608755977,T2a,14
720575940608756693,T4b,690
720575940608760843,T4c,673
720575940608761924,C3,543
720575940608763147,T5c,377
